accession,species,ncbi_organism_name
GCF_900132535.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900137325.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_001216825.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_001217405.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_014843175.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900131815.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900134865.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900139735.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900133985.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900134085.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_024390195.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900132215.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900683445.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900131895.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900130365.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900135835.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900135345.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900138965.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900137265.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900134375.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_017176265.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_001792645.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_000257245.2,Mycobacterium abscessus,Mycobacteroides abscessus M94
GCF_900133015.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900132235.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_024390065.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900132755.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900138755.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900131735.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900135645.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_024390125.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900134615.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900138675.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900136825.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_003582705.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_001214505.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900140525.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002800965.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_001213945.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_030513825.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_900137665.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900132905.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002802225.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900138525.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900132785.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_900136155.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_017175095.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900136315.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900130745.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900133535.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_001213445.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900139165.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900140185.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_030514085.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_900140045.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002801535.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900139185.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCA_002802045.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900138195.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_024390275.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_017175115.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900135515.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_030342105.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900136955.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCA_015499695.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_002800345.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_003071745.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_002142855.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_001792615.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_001217225.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900134885.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_003582365.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900133995.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002801495.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900132945.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900133605.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_003068665.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_030513585.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900131695.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_001213585.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_002800205.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900134265.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900141325.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900132085.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_002800625.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_030513925.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_900135745.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_000270765.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii 2B-0307
GCF_900137225.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900135095.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900138345.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_020735485.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002802655.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_030513705.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900135565.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900140005.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900141505.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900135315.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900131245.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900133205.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_003071975.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_016758375.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900133315.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900136415.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900135845.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900130315.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_001216245.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900136545.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_001214825.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900136045.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002800045.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_004209815.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_001215465.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900137935.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_900141225.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900137185.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900139455.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900139365.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_003582895.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_001215345.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900141235.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_030513375.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900140325.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCA_015355655.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_017183735.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900141415.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_001215565.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900136475.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900134445.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900137845.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_001217165.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900131385.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900140775.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900140635.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900136075.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_004027995.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_017176045.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002800605.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002142775.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900141335.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900134895.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002800255.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002800135.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_024390185.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900136145.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002801365.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900134185.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_017183655.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002800845.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002801905.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900141215.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_030514655.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCA_900135715.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900140725.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_024390545.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_003072295.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_017175695.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_003582405.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900138205.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900141195.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_900137175.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900140075.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_900131845.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900133625.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_002801265.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900137825.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_017175715.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900130575.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900141205.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_004209835.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900130835.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900133615.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900136505.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900133905.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900136445.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900130355.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900133685.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_030513445.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCA_015499665.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_001213685.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCA_000523835.1,Mycobacterium abscessus,Mycobacteroides abscessus 21
GCF_002802595.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900139635.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_017176315.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900135705.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900140505.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_003582075.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900134955.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900137445.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900136935.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_001213405.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCA_900138975.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900133105.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_900131345.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_030514965.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_900138275.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900140465.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_003586385.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900132265.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900137065.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCA_013140085.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900136395.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_016758425.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_024390365.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_017176075.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900132505.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900131595.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900137615.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900137715.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900138815.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_000271285.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii 1S-152-0914
GCF_900133965.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_030514275.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900133735.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_030514795.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900136585.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_000611915.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_017175815.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900131045.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900141075.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_001214565.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900136885.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002800445.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCA_015023925.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_002801355.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900137025.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900132445.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_001214225.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900138935.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900135195.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002802065.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_000523915.1,Mycobacterium abscessus,Mycobacteroides abscessus MAB_091912_2455
GCF_900139785.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCA_015024045.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900136265.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900137855.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_030513485.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900138905.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900138005.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900134555.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002802295.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900135365.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCA_001216525.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_024391025.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_025657575.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_017183915.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_002142845.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_020229575.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_002802055.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900133975.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900139775.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCA_001216105.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900138255.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_001214585.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_006409125.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_900136275.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_000270665.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense CCUG 48898 = JCM 15300
GCF_001213785.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_024389805.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900139135.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_000069185.1,Mycobacterium abscessus,Mycobacteroides abscessus ATCC 19977
GCF_002802255.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900132935.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900140065.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_014843195.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900132145.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_900131125.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_900133155.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900140905.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900138185.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900134745.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900139935.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_003076855.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_030513875.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900135625.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900136695.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002802525.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900135915.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_005222645.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
